libjpeg8	8c-2ubuntu12	libjpeg8-empty	8c-2ubuntu12
libjson-c5	0.18+ds-3	json-c	0.18+ds-3
libjson-glib-1.0-0	1.10.8+ds-2	json-glib	1.10.8+ds-2
libjson-glib-1.0-common	1.10.8+ds-2	json-glib	1.10.8+ds-2
libk5crypto3	1.22.1-2ubuntu4.1	krb5	1.22.1-2ubuntu4.1
libkeyutils1	1.6.3-6ubuntu3	keyutils	1.6.3-6ubuntu3
libkmod2	34.2-2ubuntu2	kmod	34.2-2ubuntu2
libkrb5-3	1.22.1-2ubuntu4.1	krb5	1.22.1-2ubuntu4.1
libkrb5support0	1.22.1-2ubuntu4.1	krb5	1.22.1-2ubuntu4.1
libksba8	1.6.7-2build1	libksba	1.6.7-2build1
liblcms2-2	2.17-1ubuntu0.2	lcms2	2.17-1ubuntu0.2
liblcms2-utils	2.17-1ubuntu0.2	lcms2	2.17-1ubuntu0.2
libldap-common	2.6.10+dfsg-1ubuntu5	openldap	2.6.10+dfsg-1ubuntu5
libldap2	2.6.10+dfsg-1ubuntu5	openldap	2.6.10+dfsg-1ubuntu5
liblerc4	4.0.0+ds-5ubuntu2	lerc	4.0.0+ds-5ubuntu2
libltdl7	2.5.4-9	libtool	2.5.4-9
liblz4-1	1.10.0-8	lz4	1.10.0-8
liblzma5	5.8.3-1	xz-utils	5.8.3-1
libmd0	1.1.0-2build4	libmd	1.1.0-2build4
libmount1	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
libncursesw6	6.6+20251231-1	ncurses	6.6+20251231-1
libnettle8t64	3.10.2-1	nettle	3.10.2-1
libnghttp2-14	1.68.0-2ubuntu0.2	nghttp2	1.68.0-2ubuntu0.2
libnpth0t64	1.8-3build1	npth	1.8-3build1
libnspr4	2:4.38.2-1ubuntu1	nspr	2:4.38.2-1ubuntu1
libnss-mdns	0.15.1-5	nss-mdns	0.15.1-5
libnss3	2:3.120-1ubuntu2.1	nss	2:3.120-1ubuntu2.1
libopenjp2-7	2.5.4-1ubuntu0.1	openjpeg2	2.5.4-1ubuntu0.1
libp11-kit0	0.26.2-2	p11-kit	0.26.2-2
libpam-modules	1.7.0-5ubuntu3.2	pam	1.7.0-5ubuntu3.2
libpam-modules-bin	1.7.0-5ubuntu3.2	pam	1.7.0-5ubuntu3.2
libpam-runtime	1.7.0-5ubuntu3.2	pam	1.7.0-5ubuntu3.2
libpam-systemd	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
libpam0g	1.7.0-5ubuntu3.2	pam	1.7.0-5ubuntu3.2
libpaper2	2.2.5-0.3maysync1	libpaper	2.2.5-0.3maysync1
libpci3	1:3.14.0-1build2	pciutils	1:3.14.0-1build2
libpcre2-8-0	10.46-1build1	pcre2	10.46-1build1
libperl5.40	5.40.1-7ubuntu0.1	perl	5.40.1-7ubuntu0.1
libpixman-1-0	0.46.4-1	pixman	0.46.4-1
libpng16-16t64	1.6.57-1	libpng1.6	1.6.57-1
libpoppler-cpp3	26.01.0-2ubuntu0.1	poppler	26.01.0-2ubuntu0.1
libpoppler-glib8t64	26.01.0-2ubuntu0.1	poppler	26.01.0-2ubuntu0.1
libpoppler156	26.01.0-2ubuntu0.1	poppler	26.01.0-2ubuntu0.1
libppd2	2:2.1.1-0ubuntu2	libppd	2:2.1.1-0ubuntu2
libppd2-common	2:2.1.1-0ubuntu2	libppd	2:2.1.1-0ubuntu2
libproc2-0	2:4.0.4-9ubuntu1	procps	2:4.0.4-9ubuntu1
libproxy1v5	0.5.12-1	libproxy	0.5.12-1
libpsl5t64	0.21.2-1.1build2	libpsl	0.21.2-1.1build2
libpython3-stdlib	3.14.3-0ubuntu2	python3-defaults	3.14.3-0ubuntu2
libpython3.14	3.14.4-1ubuntu0.1	python3.14	3.14.4-1ubuntu0.1
libpython3.14-minimal	3.14.4-1ubuntu0.1	python3.14	3.14.4-1ubuntu0.1
libpython3.14-stdlib	3.14.4-1ubuntu0.1	python3.14	3.14.4-1ubuntu0.1
libqpdf30	12.3.2-1	qpdf	12.3.2-1
libraqm0	0.10.4-1	raqm	0.10.4-1
libreadline8t64	8.3-4	readline	8.3-4
librtmp1	2.4+20151223.gitfa8646d.1-3	rtmpdump	2.4+20151223.gitfa8646d.1-3
libsane-common	1.4.0-1ubuntu1	sane-backends	1.4.0-1ubuntu1
libsane-hpaio	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
libsane1	1.4.0-1ubuntu1	sane-backends	1.4.0-1ubuntu1
libsasl2-2	2.1.28+dfsg1-9ubuntu3	cyrus-sasl2	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3	cyrus-sasl2	2.1.28+dfsg1-9ubuntu3
libseccomp2	2.6.0-2ubuntu5	libseccomp	2.6.0-2ubuntu5
libselinux1	3.9-4build1	libselinux	3.9-4build1
libsemanage-common	3.9-1build1	libsemanage	3.9-1build1
libsemanage2	3.9-1build1	libsemanage	3.9-1build1
libsensors-config	1:3.6.2-2build1	lm-sensors	1:3.6.2-2build1
libsensors5	1:3.6.2-2build1	lm-sensors	1:3.6.2-2build1
libsepol2	3.9-2	libsepol	3.9-2
libsharpyuv0	1.5.0-0.1build1	libwebp	1.5.0-0.1build1
libsm6	2:1.2.6-1build1	libsm	2:1.2.6-1build1
libsmartcols1	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
libsnapd-glib-2-1	1.72-0ubuntu3	snapd-glib	1.72-0ubuntu3
libsnmp-base	5.9.4+dfsg-2ubuntu3	net-snmp	5.9.4+dfsg-2ubuntu3
libsnmp40t64	5.9.4+dfsg-2ubuntu3	net-snmp	5.9.4+dfsg-2ubuntu3
libsoup-3.0-0	3.6.6-1	libsoup3	3.6.6-1
libsoup-3.0-common	3.6.6-1	libsoup3	3.6.6-1
libsqlite3-0	3.46.1-9ubuntu0.2	sqlite3	3.46.1-9ubuntu0.2
libss2	1.47.2-3ubuntu4	e2fsprogs	1.47.2-3ubuntu4
libssh2-1t64	1.11.1-1ubuntu0.26.04.4	libssh2	1.11.1-1ubuntu0.26.04.4
libssl3t64	3.5.5-1ubuntu3.5	openssl	3.5.5-1ubuntu3.5
libstdc++6	16-20260322-1ubuntu1	gcc-16	16-20260322-1ubuntu1
libsystemd-shared	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
libsystemd0	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
libtasn1-6	4.21.0-2	libtasn1-6	4.21.0-2
libtiff6	4.7.0-3ubuntu5	tiff	4.7.0-3ubuntu5
libtinfo6	6.6+20251231-1	ncurses	6.6+20251231-1
libudev1	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
libunistring5	1.3-2build1	libunistring	1.3-2build1
libusb-1.0-0	2:1.0.29-2build1	libusb-1.0	2:1.0.29-2build1
libuuid1	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
libv4l-0t64	1.32.0-2ubuntu1	v4l-utils	1.32.0-2ubuntu1
libv4lconvert0t64	1.32.0-2ubuntu1	v4l-utils	1.32.0-2ubuntu1
libwebp7	1.5.0-0.1build1	libwebp	1.5.0-0.1build1
libwebpdemux2	1.5.0-0.1build1	libwebp	1.5.0-0.1build1
libwebpmux3	1.5.0-0.1build1	libwebp	1.5.0-0.1build1
libwrap0	7.6.q-36build2	tcp-wrappers	7.6.q-36build2
libx11-6	2:1.8.13-1	libx11	2:1.8.13-1
libx11-data	2:1.8.13-1	libx11	2:1.8.13-1
libxau6	1:1.0.11-1build2	libxau	1:1.0.11-1build2
libxcb-render0	1.17.0-2ubuntu1	libxcb	1.17.0-2ubuntu1
libxcb-shm0	1.17.0-2ubuntu1	libxcb	1.17.0-2ubuntu1
libxcb1	1.17.0-2ubuntu1	libxcb	1.17.0-2ubuntu1
libxdmcp6	1:1.1.5-2	libxdmcp	1:1.1.5-2
libxext6	2:1.3.4-1build3	libxext	2:1.3.4-1build3
libxml2-16	2.15.2+dfsg-0.1ubuntu0.1	libxml2	2.15.2+dfsg-0.1ubuntu0.1
libxpm4	1:3.5.17-1ubuntu0.26.04.1	libxpm	1:3.5.17-1ubuntu0.26.04.1
libxrender1	1:0.9.12-1build1	libxrender	1:0.9.12-1build1
libxt6t64	1:1.2.1-1.3build1	libxt	1:1.2.1-1.3build1
libxxhash0	0.8.3-2build1	xxhash	0.8.3-2build1
libzstd1	1.5.7+dfsg-3	libzstd	1.5.7+dfsg-3
login	1:4.16.0-2+really2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
login.defs	1:4.17.4-2ubuntu3	shadow	1:4.17.4-2ubuntu3
logsave	1.47.2-3ubuntu4	e2fsprogs	1.47.2-3ubuntu4
lsb-release	12.1-2build1	lsb-release-minimal	12.1-2build1
mawk	1.3.4.20260129-1	mawk	1.3.4.20260129-1
media-types	14.0.0build1	media-types	14.0.0build1
mount	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
mscompress	0.4-10build2	mscompress	0.4-10build2
ncurses-base	6.6+20251231-1	ncurses	6.6+20251231-1
ncurses-bin	6.6+20251231-1	ncurses	6.6+20251231-1
netbase	6.5build1	netbase	6.5build1
openprinting-ppds	20250819-1build1	foomatic-db	20250819-1build1
openssl	3.5.5-1ubuntu3.5	openssl	3.5.5-1ubuntu3.5
openssl-provider-legacy	3.5.5-1ubuntu3.5	openssl	3.5.5-1ubuntu3.5
passwd	1:4.17.4-2ubuntu3	shadow	1:4.17.4-2ubuntu3
pci.ids	0.0~2026.02.12-1	pci.ids	0.0~2026.02.12-1
perl-base	5.40.1-7ubuntu0.1	perl	5.40.1-7ubuntu0.1
perl-modules-5.40	5.40.1-7ubuntu0.1	perl	5.40.1-7ubuntu0.1
pinentry-curses	1.3.2-3ubuntu1	pinentry	1.3.2-3ubuntu1
poppler-data	0.4.12-1build1	poppler-data	0.4.12-1build1
poppler-utils	26.01.0-2ubuntu0.1	poppler	26.01.0-2ubuntu0.1
printer-driver-brlaser	6.2.8-1	brlaser	6.2.8-1
printer-driver-c2050	0.3b-10build1	c2050	0.3b-10build1
printer-driver-c2esp	27-11ubuntu8	c2esp	27-11ubuntu8
printer-driver-cjet	0.8.9-11build1	cjet	0.8.9-11build1
printer-driver-dymo	1.4.0-12build3	dymo-cups-drivers	1.4.0-12build3
printer-driver-escpr	1.8.7-1	epson-inkjet-printer-escpr	1.8.7-1
printer-driver-foo2zjs	20200505dfsg0-3ubuntu1	foo2zjs	20200505dfsg0-3ubuntu1
printer-driver-foo2zjs-common	20200505dfsg0-3ubuntu1	foo2zjs	20200505dfsg0-3ubuntu1
printer-driver-fujixerox	1.1.0+ds-4build3	fxlinuxprint	1.1.0+ds-4build3
printer-driver-gutenprint	5.3.4.20220624T01008808d602-4ubuntu2	gutenprint	5.3.4.20220624T01008808d602-4ubuntu2
printer-driver-hpcups	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
printer-driver-indexbraille	1.2.3-5build1	printer-driver-indexbraille	1.2.3-5build1
printer-driver-m2300w	0.51-15build3	m2300w	0.51-15build3
printer-driver-min12xxw	0.0.9-11build4	min12xxw	0.0.9-11build4
printer-driver-oki	1.0.2-3	printer-driver-oki	1.0.2-3
printer-driver-pnm2ppa	1.13+nondbs-0ubuntu11	pnm2ppa	1.13+nondbs-0ubuntu11
printer-driver-postscript-hp	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
printer-driver-ptouch	1.7.1-1build1	ptouch-driver	1.7.1-1build1
printer-driver-pxljr	1.4+repack0-6build3	pxljr	1.4+repack0-6build3
printer-driver-sag-gdi	0.1-8build1	rastertosag-gdi	0.1-8build1
printer-driver-splix	2.0.1-2	splix	2.0.1-2
procps	2:4.0.4-9ubuntu1	procps	2:4.0.4-9ubuntu1
python3	3.14.3-0ubuntu2	python3-defaults	3.14.3-0ubuntu2
python3-dbus	1.4.0-1build2	dbus-python	1.4.0-1build2
python3-distro	1.9.0-1build1	python-distro	1.9.0-1build1
python3-gi	3.56.2-1	pygobject	3.56.2-1
python3-minimal	3.14.3-0ubuntu2	python3-defaults	3.14.3-0ubuntu2
python3-pexpect	4.9-4	pexpect	4.9-4
python3-pil	12.1.1-2ubuntu1.3	pillow	12.1.1-2ubuntu1.3
python3-ptyprocess	0.7.0-6build1	ptyprocess	0.7.0-6build1
python3.14	3.14.4-1ubuntu0.1	python3.14	3.14.4-1ubuntu0.1
python3.14-minimal	3.14.4-1ubuntu0.1	python3.14	3.14.4-1ubuntu0.1
readline-common	8.3-4	readline	8.3-4
rust-coreutils	0.8.0-0ubuntu3	rust-coreutils	0.8.0-0ubuntu3
sed	4.9-2ubuntu1	sed	4.9-2ubuntu1
sensible-utils	0.0.26build1	sensible-utils	0.0.26build1
ssl-cert	1.1.3ubuntu2	ssl-cert	1.1.3ubuntu2
systemd	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
systemd-sysv	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
sysvinit-utils	3.15-5ubuntu1	sysvinit	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4	tar	1.35+dfsg-4ubuntu0.4
tzdata	2026c-0ubuntu0.26.04.1	tzdata	2026c-0ubuntu0.26.04.1
ubuntu-keyring	2023.11.28.1build1	ubuntu-keyring	2023.11.28.1build1
udev	259.5-0ubuntu3.4	systemd	259.5-0ubuntu3.4
user-session-migration	0.5.1	user-session-migration	0.5.1
util-linux	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
wget	1.25.0-2ubuntu4.4	wget	1.25.0-2ubuntu4.4
x11-common	1:7.7+26ubuntu1	xorg	1:7.7+26ubuntu1
xfonts-encodings	1:1.0.5-0ubuntu3	xfonts-encodings	1:1.0.5-0ubuntu3
xfonts-utils	1:7.7+7build1	xfonts-utils	1:7.7+7build1
xz-utils	5.8.3-1	xz-utils	5.8.3-1
zlib1g	1:1.3.dfsg+really1.3.1-1ubuntu3.1	zlib	1:1.3.dfsg+really1.3.1-1ubuntu3.1
